LU,Text
couter," Et coustoit uns fiers pour un cheval, d' un seul piet, siis estrelins. (FROISSART,152.2498) "
couter," Car tous les jours, qant il voloit faire ce mestier, li connestables d' Engleterre, li contes de Norhanton, avoit bien •Vc• lances et mille archiers, qui costioient les bois et les rivieres toute jour, tant que li rois retournoit arriere. (FROISSART,220.3999) "
couter," et costiierent Frise et Hollandes; (FROISSART,237.4344) "
couter," Car se il euist aussi bien, ens ou conmencement de ces nouvelles, abatu les paroles et les oppinions des Englois que il les esleva, pluisseurs gens dient que, de la guerre de France et d' Engleterre qui tant a duret et coustet, riens nee n' euist esté; (FROISSART,256.4754) "
couter," et costiierent Saint Quentin; (FROISSART,324.6186) "
couter," et costiierent tant le bois haiiet et abatu, que il trouverent la voie par quoi il vinrent a euls. (FROISSART,330.6326) "
couter," et cevauchierent un grant temps a la couverte, toutdis costiant l' ost des Englois. (FROISSART,331.6365) "
couter," Il ont tel cose esmeu qui me coustera et euls aussi, (FROISSART,355.6927) "
couter," et m' est avis que il devoient costiier la ville de Lille en laquelle il i avoit de par le roi de France bien •CC• lances, savoiiens et bourgignons. (FROISSART,370.7273) "
couter," Il cevauça tousjours costiant la forest de Mourmail (FROISSART,380.7545) "
couter," et costiierent Werchin, (FROISSART,382.7613) "
couter," et passerent costiant la ville de Lille et a la veue de chiaus qui dedens estoient, (FROISSART,419.8452) "
couter," et cevauchierent tant que il costiierent Valenchiennes, (FROISSART,429.8709) "
couter," mais chil Alemant estoient droite gens d' armes, et bien usé et coustumé de tels besongnes. (FROISSART,431.8782) "
couter," Et toutdis les costioient les François qui avoient grande entente de euls clore la voie dou pont. (FROISSART,441.9031) "
couter," Ensi que il asamblerent, li coureur desus nonmet qui costiiet les avoient, s' en vinrent ferir sus ele (FROISSART,442.9048) "
couter," Més trop lor cousta et par especial des bourgois de la ville, (FROISSART,497.10209) "
couter," et singlerent en mer, costians les terres pour venir a Garlande, (FROISSART,539.11222) "
couter," et costiierent Normendie et les isles de Grenesee et de Breha, (FROISSART,577.12185) "
couter," Et costiierent Bretagne, Rocelle et Poito, (FROISSART,602.12725) "
couter," et trop lor cousteroit de lors gens. (FROISSART,610.12956) "
couter," et puisque nous avons la ville, nous averons le chastiel, quoique il doie couster. (FROISSART,627.13427) "
couter," mais moult lor cousta de lors honmes. (FROISSART,643.13830) "
couter," et ne faisoit point a reprendre presentement que trop il ne deuist couster. (FROISSART,652.13998) "
couter," Si ordonna et conmanda li dus que li pons fust fais, qoique il coustast. (FROISSART,659.14190) "
couter," mais il cousta grandement des François plus que il ne vausist. (FROISSART,668.14367) "
couter," Si aviserent li signeur que li contes de Ghines connestables de France et li contes de Tanqarville se departiroient dou siege et s' en retourneroient en France, pour remonstrer au roi l' estat de son fil, le duch de Normendie, et dou siege qui tant avoit cousté et coustoit encores tous les jours. (FROISSART,671.14420) "
couter," Il ordonnerent lors gens en trois batailles, de quoi li une cemineroit d' un lés, costiant la marine, et la bataille de l' avant-garde chevauceroit sus le pais a destre, et li rois en milieu de ces batailles; (FROISSART,677.14596) "
couter," Archiers et honmes de piet aloient costiant la mer, (FROISSART,678.14602) "
couter," Qant li rois d' Engleterre ot envoiiet ses gens costiant la marine, par le consel de mesire Godefroi de Harcourt, et chil se furent mis au cemin, assés tos apriés il se departi de la Hoge Saint Vast, la ou il avoit pris terre, (FROISSART,681.14675) "
couter," Et toutdis le costioit et sievoit sa navie, laquelle vint jusques a deus lieues priés de Kem sus la riviere de Iton qui se rentre en la mer, et sus un havene que on nonme Austrehem, (FROISSART,689.14822) "
couter," mais aussi il li cousta moult de ses honmes, (FROISSART,694.14957) "
couter," Et ce vous poroit grandement couster de vos honmes, (FROISSART,694.14967) "
couter," car on euist fait quatre tels castiaus que Agillon est, pour ce que li sieges cousta au roiaulme de France. (FROISSART,748.16230) "
couter," et dist et jura que jamais n' entenderoit a aultre cose, quoique couster li deuist, (FROISSART,812.17759) "
couter," Or vous diray que li rois d' Engleterre fist et avoit ja fait, qant il sceut que li rois de France venoit a si grande hoost pour li combatre et pour dessegier la ville de Calais, qui tant li avoit cousté d' avoir, de gens et de painne de son corps; (FROISSART,826.18082) "
couter," Une fois, il cevauçoit un coursier, liquels li avoit cousté •CCC• esqus, (FROISSART,860.18895) "
couter," et dist: Sire, li François folient et abusent trop grandement, qui, en bonnes trieuves jurees et donnees, marceandent de vous trahir, et voellent avoir la ville et le chastiel qui tant vous ont cousté: (FROISSART,863.18959) "
couter," et dist: Mesire Jofroi, mesire Jofroi, je vous doi, par vostre deserte, petit amer, qant vous voliés par nuit embler ce que j' ai si comparet et qui m' a coustet tant de deniers. (FROISSART,874.19279) "
couter," Et il me dit qu' il avoit tiex atours brodez de ses armes qui li avoient cousté .VIII. cenz livres de parisis. (JOINVILLE_MEMOIRES,11.91) "
couter," Et par les messages envoia le roy au roy des Tartarins une tente faite en la guise d' une chapelle, qui moult cousta, (JOINVILLE_MEMOIRES,65.681) "
couter," Et la royne, que Diex absoille, fist acheter toutes les viandes de la ville, qui li cousterent .CCC. et .LX. mille livres et plus. (JOINVILLE_MEMOIRES,195.2239) "
couter," Et je dis: Oÿl, mon seigneur Pierre de Pontmolain, li tiers a baniere, qui coustent .IIII‹C›. livres jusques a Pasques. (JOINVILLE_MEMOIRES,215.2488) "
couter," Ce sont, fist il, .XII‹C›. livres que vos nouviaus chevaliers cousteront. (JOINVILLE_MEMOIRES,215.2490) "
couter," Et pour vous moustrer le coustage que le roy i mist, vous foiz je a savoir que je demandai au legat combien celle porte et ce pan du mur li avoit cousté; (JOINVILLE_MEMOIRES,277.3234) "
couter," et il me demanda combien je cuidoie qu' elle eust cousté; (JOINVILLE_MEMOIRES,277.3235) "
couter," et je esmai que la porte que il avoit fet faire li avoit bien cousté .V‹C›. livres, et le pan du mur .III‹C›. livres; (JOINVILLE_MEMOIRES,277.3236) "
couter," car il ameroient miex mettre leur cors en avanture de noier que ce que il achetassent une nef qui leur cousteroit .III‹M›. livres et plus. (JOINVILLE_MEMOIRES,309.3655) "
couter," et me dit la royne que la façon avoit cousté .C. livres. (JOINVILLE_MEMOIRES,313.3701) "
couter," Une hure ariere, une autre avant, Issi alouent costeiant; (MARIEF_LAIS,.3669) "
couter," N‹otre› S‹eigneur›, segondans ces demarches qui luy couterent baucoup, luy donna des lumieres et graces sy fortes qu' elle retira son cœur de la personne a qui elle l' avoit donné pour le donner tout entier a Sa Majesté qu' elle reconnu meriter seul tout notre estime et notre amour, (MORIN,.165) "
couter," et fit bastir aux despans de sa communauté et avec les 300# dont je viens de parler une chapelle toute de pierre, une fois aussy grand que la premiere, toute de pierre et voutees qui luy cousta plus de 2=000# dont elle ce ranboursa ensuittes sur les aumosnes qu' on y fit, disant de bonne grace qu' elle avoit fait cette advance a la s‹ain›te Vierge qui peyeroit bien ces deptes. (MORIN,.753) "
couter," C' est dont nous jouissons a present, mes sœurs, avec contantement, que nous devons regarder comme la sueur et le sang de nos premieres meres a qui ces aquets ont tant cousté de peines et traveaux, ‹et›c. (MORIN,.1469) "
couter," Et se jettant a genoux elle luy fit le sacrifice de ce cher monastere, qui luy avoit cousté tant de peines et de soins a le bastir et qui n' etoit achevé que depuis quatre mois, pour la construction duquel elles avois fait plusieurs deptes qui n' etois pas aquitee, et que cet accidant les reduisoit dans un estat a ne le pouvoir faire de bien des annee et peut estre point du tout, ce qui la touchèt vivement, (MORIN,.2858) "
couter," je v‹ou›s asure, mes chere sœur, que je vous fasse resouvenir isi ce que j' ay apris de la sup‹erieu›re et des plus anciennes Filles de la maison ou nous estions logee, mesme la digne s‹œu›r Bourgeoys leur fondatrisse, qui est que quand notre monastere brusla, elles fesois actuellement une neuveine de prieres et de veilles pour demander a N‹otre› S‹eigneur› qu' il vingt loger chez elles dans le tres S‹ain›t Sacrement, ce qui leur fut acordé sans delay, ne pansans pas qu' il nous en dub tant couster, (MORIN,.3006) "
couter," D' autre part, il estoit bien rude d' arester, dans un si beau chemin, le 3e estage de massonne monté et achevé, la charpante tailiee preste a lever, toutes les portes et fenestres remise en pierre de taille neuves, ce qui avoit baucoup couté. (MORIN,.3399) "
couter," Li emperere fait Rollant costeïr E Oliver e l' arcevesque Turpin. (ROLAND,213.2953) "
couter," Artus, li boens rois de Bretaingne la=cui proesce nos enseigne que nos soiens preu et cortois, tint cort si riche come rois a cele feste qui tant coste, qu' an doit clamer la Pantecoste. (YVAIN,1.15) "
couter," qu' il volsist qu' il fussent tuit ars, si li eüst costé cent mars. (YVAIN,39.1314) "
couter," Or ne devez vos pas songier, mes les tornoiemanz ongier et anpanre, et tot fors giter, que que il vos doie coster. (YVAIN,77.2690) "
couter," n' avoit mie .xx. solz costé li setiers don fu fez li pains, (YVAIN,87.3036) "
couter," Et li lÿons lez lui costoie (YVAIN,104.3622) "
couter," ses aloit costoiant toz quatre, (YVAIN,125.4324) "
couter," et ses braz li cost. (YVAIN,165.5776) "
couter," Or doint Dex que trop ne li cost ceste losenge et cist servise! (YVAIN,165.5778) "
debourser," et, pour trousser le compte, force fut a la bonne gentil femme a tel regret que Dieu scet, de desbourser les dix escuz, affin que l' escuier s' en aille. (ANONYME_CNN,124.2509) "
depense," Je n' y saroie ainsi aller sans grosse despence; (ANONYME_CNN,171.3467) "
depense," Nous irons plus tost, plus seurement et a mains de despense. (ANONYME_CNN,171.3472) "
depense," et enqueroit des voyages de son hoste a ung ancien gentil homme qui avoit conduit le fait de sa despense en son voyage. (ANONYME_CNN,249.5383) "
depense," Or devez vous savoir qu' en cest hostel avoit gentil compaignon clerc, qui tresbien chantoit et jouoit de la harpe, et avoit la charge de la despense. (ANONYME_CNN,279.6096) "
depense," Et tout premier ung gentil escuier frisque, frez et friant en bon point, qui tant rembourra son bas a son cher coust, tant en substance de son corps que en despense de pecune, car a la verité elle tant bien le pluma qu' il n' y failloit point renvoier, qu' il s' ennuya et retira, et de tous poins l' abandonna. (ANONYME_CNN,461.9973) "
depense," Et si me fault aller a l' assise de tel lieu pour le plait que j' ay de vostre terre mesme de tel lieu, dont je n' ay riens eu au moins ou bien petit, et m' y fault faire grant despence. (XV-JOIES,9.140) "
depense," Quant vient que le pouvre homme est venu, qui vient de pourvoier vitaille, et a l' aventure a fait grant meschief du sien, dont il est en grant soussy, il arive a l' aventure une heure ou deux de nuit, pour ce qu' il vient de loing et a grant envie de savoir de la dame et comment il li va, ou n' ouse couchier dehors de paour de la despense. (XV-JOIES,21.438) "
depense," et le pouvre homme, qui a tout le soussy de la despense, va souvent veoir comment le vin se porte, quant il voit si terriblement boire. (XV-JOIES,26.612) "
depense," or fault penser de soy acquiter des despenses qu' il a faites; (XV-JOIES,26.625) "
depense," car celui qui est en despence n' est assez bon, (XV-JOIES,53.1430) "
depense," et acompte ce qu' il peut avoir de revenue, de pencion ou de marchandie, selon l' estat dont il est, et sa despence. (XV-JOIES,60.1595) "
depense," le mesnage croistra et la despence. (XV-JOIES,71.1923) "
depense," Les despenses et habillemens et d' hommes et de femmes grans et superfluz, les convyz et les bancquetz plus grans et plus prodigues que en nul autre lieu dont j' aye eu congnoissance, les baigneries et aultres festoyemens avecques femmes grans et desordonnéz et à peu de honte: je parle de femmes de basse condicion. (Commynes_Memoires,14.117) "
depense," Ces choses ainsi faictes, se retira ledict duc à Gand, où il y fut fait une entrée de grand despence. (Commynes_Memoires,122.1665) "
depense," et y feïst merveilleuse despence pour monstrer son triumphe. (Commynes_Memoires,138.1905) "
depense," mais sa depence roule sur le gain qu| elle fait sur quelques effets quils luy viennent tous les ans de france et dont elle se defait avantageusement, (DUPLESSIS_LETTRE,2.136.177) "
depense," chacun se met en droit de nous charger de soins et de depence EOS (DUPLESSIS_LETTRE,3.54.687) "
depense," c' est comme vous voyez Madame un grand surcroit d' embaras et de dépence, (DUPLESSIS_LETTRE,3.173.1001) "
depense," c' est une grande dépence, (DUPLESSIS_LETTRE,3.285.1669) "
depense," et quoy=que cette depence ne se fasse pas a ses frais, sa protection et ses soins nous sont fort avantageux, (DUPLESSIS_LETTRE,4.113.3425) "
depense," Au chief du cloistre d' autre part estoient les cuisines, les bouteilleries, les paneteries et les despenses. (JOINVILLE_MEMOIRES,47.491) "
depense," Si mette le roy ses deniers en despense, (JOINVILLE_MEMOIRES,209.2397) "
depense," et si on ne sçait point le dessain de Monsieur Charon qui en est le fondateur, qui doibt estre grand puis=qu' i fait de sy grandes depances, on juge par la disposition des corps de logis que c' est un hospital general et manefacture. (MORIN,.260) "
depense," Il fut des premiers a fournir a la depance EOS (MORIN,.316) "
depense," Monsieur La Dauversiere prenans ces conceils comme des marques nouvelles de la volonté de Dieu, il se resolut de mettre la main a l' œuvre, quoy=qu' il se vit hors d' etat de fournir seul a la depance. (MORIN,.331) "
depense," et lui aportois leurs aumosnes pour aider a la depance. (MORIN,.337) "
depense," Une des veue qui luy avois fait antreprandre ce voiage estoit afin de s' asocier quelques personnes de pieté et de moyens qui pussent soutenir avec luy les grandes despances qu' il faillèt faire pour envoier et antretenir en Canada la Colonie des François pour travailler a la conversion des Sauvages. (MORIN,.378) "
depense," puis randit le fond qui a esté anployé a soutenir les depances de cent hommes, travaillans et artizans, que Messieurs de S‹ain›t Sulpice anvoyerent et firent passer de France au d‹it› Montreal, en l' anné 1653, apres qu' ils en furent les seig‹neu›rs par la remize volonteire que leur en fit Monsieur de La Dauversiere et toute la Compagnie des seigneurs qu' il c' etoit asocié, a quoy Mademoiselle Mance consan‹t›it a cause, comme elle s' an est declaree plusieurs fois et mesme par ecrit, qu' elle creyèt que sans ce secours l' antreprise du Montreal auroit pery et eschoué entierement veu l' estat ou il estoit lors reduit, (MORIN,.457) "
depense," tous les Messieurs de la Compagnie qu' il c' etoit associé dans la d‹it›e Seigneurie y consantirent tous dans la pancee que ces Messieurs eclesiastiques pourois plus advantageusement travailler a la gloire de Dieu, estant establis sur les lieux, et faire moins de depances pour soutenir les frais de la Colonie qu' eux qui ne pouvois pas estre presans, et plusieurs autres reisons qu' on ne peut pas ecrire. (MORIN,.618) "
depense," Une personne, sœur Bourgeoys, qui en avoit fait les achapts et provisions, m' a dit que la despance avoit monté a 75 mil livres. (MORIN,.631) "
depense," Quelque envie q' ut Mademoiselle Mance de sortir de Paris, elle ne le put faire par la necessité des afaires de son hospital qui avoit deja bien changé de fasse par l' anploy qu' on avoit fait de vingt deux mil livres de son fond qu' elle avoit consanty estre anployee par Messieurs les seigneurs de Ville Marie a soutenir la despance des cent hommes qu' ils y anvoierent pour soutenir et fortifier la Colonie, comme j' ay dit aillieurs, quelques annee auparavand. (MORIN,.929) "
depense," Le petit cabinet a cauté de la cheminee servèt de depance, de lingerie, de robbrie et de depots. (MORIN,.1111) "
depense," et comme cela ne put pas estre assé tost fait pour leur donner du pain a manger, Messieurs les seigneurs leur donnerent l' usage de 4 arpans de terre dans leur domeine ou il y avèt peu de depances a faire, pour quelques annee, afin qu' elles y fisse semer du bled pour ce norir, ce qu' elles firent pandant qu' on travaillèt a neteyer des terres sur l' habitation de S‹ain›t Joseph. (MORIN,.1381) "
depense," Pour premiere reison, la pauvreté, n' ayant point de quoy fournir a la depance, la perte qu' elles avois fait en ceux qu' elles venois de perdre qui estois peyé, au moins 3, pour un tamps considerable, ce qui etoit perdu pour elles, ces Jeans n' ayant rien lessé de quoy peyer leurs deptes. Et en segond lieu, sy on pouvèt en consiance exposer la vie des hommes en un lieu sy perillieux et plus eloigné de secours. (MORIN,.1629) "
depense," Je croy qu' il contribua aussy aux fraix qu' il fallu faire et peyé de son argent la depance du voiage ou du moins la plus grand partie, (MORIN,.1675) "
depense," fit son ordinere, prenant pour elle tout ce qu' il y av‹èt› de plus penible et ravalé a faire dans la maison, et a son usage le plus pauvre et moins bon comme l' office de la cuisine, depance, basse cour, lesives. (MORIN,.1776) "
depense," mais on n' osèt l' antreprandre faute de quoy fournir a la depance, joinct que Mons‹ieu›r Macé s' i opposèt toujours disant que nous ferions comme l' homme de l' evangille qui entreprit de bastir sans moyens, que J‹esus› C‹hrist› condanna. (MORIN,.1794) "
depense," Cesy vous fait connestre, mes tres cheres sœurs, la grandeur de la confiance de nos premieres meres et la perfecxion de leur obeisance, n' ayant antrepris tant de depance a faire que par recpect au santiment de notre nouvel evesque qui nous aida aussy du sien a la suitte, (MORIN,.1814) "
depense," 4 fois le jour, une d' elles, ayant l' office de depositere, fesoit faire leurs petites commoditee, qui consistèt en une petite cuisine qui servèt aussy de depance et de refectoir, une chambre commune qui a servy aussy d' infirmerie plus de 30 ans, un petit dortoir de quatre cellules. (MORIN,.2041) "
depense," On peut bien se persuader quelque chose du coup douloureux qu' elle receut en ce momand de voir reduire en sandre une maison qu' elle aimoit si tandrement, pour qui elle avoit tant travaillé, pour laquelle M‹onsieu›r Macé, son frere, avoit espuisé sa bource et une partie de celles de ces amis pour fournir a la depance. Et cela 4 mois seulement apres que le batiment en fut achevé, qu' on commansoit a gouster la douceur d' une maison reguliere et commode. (MORIN,.2250) "
depense," Mons‹ieu›r Juchereau demanda que chacun dit tout haut ce qu' il vouloit donner afin qu' on put faire un reolle juste et regler la depance sur cela qu' on vouloit faire. (MORIN,.2928) "
depense," Mons‹ieu›r le commicere ne voulut admettre, en leur depance, les habitans. (MORIN,.2972) "
depense," et comme elle s' an excusèt sur le peu de moyens d' an soutenir la depance, je vous feré presant, luy dy il, de cent escu pour vous y aider, mais a condition que vous ne vous decourageré point et que vous feré l' inpossible pour l' avancer et la mettre en estat de vous loger et recevoir en son sain, l' exortant a se confier en Dieu, d' une maniere for eloquante et persuasive, la remenant ensuittes a la maison des Congreganistes, par notre jardin, (MORIN,.3114) "
depense," La cuisine servoit aussy de credance et depance. (MORIN,.3138) "
depense," On croit que la depance yra bien a mil escu. (MORIN,.3334) "
depense," Le printamps de la segonde annee apres notre insandie, on commansa a faire travailler a reparer nos ruines, sa Majesté nous ayant acordé deux mil livres de gratification, qui est bien peu de choses pour de si grandes depances. (MORIN,.3384) "
depense," Quelques diligences qu' on put faire, le batiment ne put estre achevé au mois de juilliet suivant faute de planches et madriers qu' on avoit peine a avoir, joint que les deux mil livres ne sufirent pas a peyer la depance et 500 # d' homosne du Jubilé, qui ariva en ce tamps la. (MORIN,.3387) "
depense," Elle avoit tres peu de choses entre les mains sur quoy elle put compter du secours pour la depance, (MORIN,.3390) "
depense," Je lesse le Pere François travailler avec tant de ferveur et de sciance industrieuse pour notre eglise pour vous dire que notre com‹munau›té fut si penetree de consolation de voir la charité de ce bon Religieux a nous aider et vouloir bien ce charger de cet ouvrage, dans un tamps sy calamiteux, qu' elle se resolut de faire les depances necesseire afin de profiter de ce grand bien, malgré sa pauvreté, et s' aprocher de la d‹it›e eglise. (MORIN,.3579) "
