SentID,Corpus,LU,Frame,ID,Author,Title,Date,Century,Domain,Genre,Region,Form,Wordcount_Source,Text,Target1Start,Target1End,Target2Start,Target2End,Target3Start,Target3End
11,MCVF,cher,FR_Spending,ANONYME_CNN,Anonyme,Cent Nouvelles Nouvelles,1458,15th,,Nouvelle / Fabliau,,,152174,"mais , par ma foy , c’ est trop , ad ce que le blé est cher .",55,58,,,,
12,MCVF,cher,FR_Spending,ANONYME_CNN,Anonyme,Cent Nouvelles Nouvelles,1458,15th,,Nouvelle / Fabliau,,,152174,"Et tout premier ung gentil escuier frisque , frez et friant en bon point , qui tant rembourra son bas a son cher coust , tant en substance de son corps que en despense de pecune , car a la verité elle tant bien le pluma qu’ il n’ y failloit point renvoier , qu’ il s’ ennuya et retira , et de tous poins l’ abandonna .",108,111,,,,
13,MCVF,cher,FR_Spending,ANONYME_CNN,Anonyme,Cent Nouvelles Nouvelles,1458,15th,,Nouvelle / Fabliau,,,152174,"Et qu’ il soit vray , depuis a son pourchaz et a ses chers coustz et despens il la fist marier tresrichement et bien , a la contemplacion seullement de la franchise et loyaulté qu’ en elle avoit trouvé , dont il eut la vraye cognoissance par le refus icy dessus compté .",53,57,,,,
14,MCVF,cher,FR_Spending,MORIN,Marie Morin,Annales de l'Hôtel-Dieu de Montréal,1697,17th,,Annales,,,102345,"Il ut assé de peine d’ an trouver a cause que plusieurs font bastir , ce qui les rand rares et plus chers , aussy bien que les ouvriers .",100,104,,,,
15,MCVF,cher,FR_Spending,DUPLESSIS_LETTRE,Marie-Andrée Regnard Duplessis,Lettres de Marie-Andrée Duplessis envoyées à Mme Hecquet de la Cloche,1718,18th,,Correspondance,,,41365,tout est cher icy EOS,9,12,,,,
16,MCVF,cher,FR_Spending,DUPLESSIS_LETTRE,Marie-Andrée Regnard Duplessis,Lettres de Marie-Andrée Duplessis envoyées à Mme Hecquet de la Cloche,1718,18th,,Correspondance,,,41365,"et comme c| est ce qu| ils ont de plus precieux ils serent dans un sac nommé caspitagane ce qu| ils ont de plus cher avec leur tabac , ce qui donne lieu a un proverbe dont on se sert en canada quand on voit quelqu’ un qui est en faveur EOS",112,115,,,,
17,MCVF,coustage,FR_Spending,JOINVILLE_MEMOIRES,Jean de Joinville,Mémoires ou Vie de Saint Louis,1305,14th,,Journal / Mémoire personnel,,,75650,"Et pour vous moustrer le coustage que le roy i mist , vous foiz je a savoir que je demandai au legat combien celle porte et ce pan du mur li avoit cousté ; ",25,32,,,,
18,MCVF,coustage,FR_Spending,ANONYME_ALEXANDRIE,Guillaume de Machaut,Prise d’Alexandrie,1369,14th,,Chroniques,,,53492,"Et si vous ay servi par l’ espasse de x . mois entiers ou plus , des=quels je vous ay servi les vj . à mes coustanges & les iiij . aus vostres .",107,116,,,,
19,MCVF,coustage,FR_Spending,FROISSART,Jean Froissart,"Chroniques, Premier livre",1399,14th,,Chroniques,,,217105,"car vous sejournés ichi a ses coustages ,",30,38,,,,
20,MCVF,coustage,FR_Spending,FROISSART,Jean Froissart,"Chroniques, Premier livre",1399,14th,,Chroniques,,,217105,Nous vous volons servir sus ce voiage a nostres coustages .,48,56,,,,
21,MCVF,coustage,FR_Spending,FROISSART,Jean Froissart,"Chroniques, Premier livre",1399,14th,,Chroniques,,,217105,"et li fist avoir sa delivrance et son estat bien et grandement , et le plus a ses coustages .",82,90,,,,
22,MCVF,coustage,FR_Spending,FROISSART,Jean Froissart,"Chroniques, Premier livre",1399,14th,,Chroniques,,,217105,Vous devés sçavoir et croire legierement que li rois d’ Engleterre gissoit a grans frés et as grans coustages deça la mer ; ,100,108,,,,
23,MCVF,coustage,FR_Spending,FROISSART,Jean Froissart,"Chroniques, Premier livre",1399,14th,,Chroniques,,,217105,"Et tous les mois estoient paiiet de lors gages , sans les grans coustages et frés qui li venoient de costé , a tenir ces signeurs d’ Alemagne a amour ,",64,72,,,,
24,MCVF,coustage,FR_Spending,FROISSART,Jean Froissart,"Chroniques, Premier livre",1399,14th,,Chroniques,,,217105,"et leur dist : Biau signeur , je ne sui pas venus en ce pais et faire les frés et les coustages si grans que vous veés que je fac et ai fais jusques a chi , pour tenir le siege devant Cambrai .",86,94,,,,
25,MCVF,coustage,FR_Spending,FROISSART,Jean Froissart,"Chroniques, Premier livre",1399,14th,,Chroniques,,,217105,"Vous devés sçavoir que li contes de Hainnau gissoit la devant les François a grans coustages , et vosist bien avoir eu la bataille et le manda par pluisseurs fois , mais li François n’ estoient point consilliet dou combatre ,",83,91,,,,
26,MCVF,coustage,FR_Spending,FROISSART,Jean Froissart,"Chroniques, Premier livre",1399,14th,,Chroniques,,,217105,"Li rois d’ Engleterre , a grant poissance et grant coustage , tenoit la son siege",51,58,,,,
27,MCVF,coustage,FR_Spending,FROISSART,Jean Froissart,"Chroniques, Premier livre",1399,14th,,Chroniques,,,217105,"Li contes de Hainnau , li dus de Braibant et li dus de Gerles servoient le roi d’ Engleterre a leurs coustages , et messires Jehans de Hainnau aussi ; ",101,109,,,,
28,MCVF,coustage,FR_Spending,FROISSART,Jean Froissart,"Chroniques, Premier livre",1399,14th,,Chroniques,,,217105,"dou mains toute la ducee de Normendie , qui jadis avoit esté as rois d’ Engleterre , li seroit rendue , et la conté de Pontieu et celle de Monstruel , et tous coustages et frés que fais avoit , li et ses gens , depuis que il passa la mer en la cause dou calenge .",159,167,,,,
29,MCVF,coustage,FR_Spending,FROISSART,Jean Froissart,"Chroniques, Premier livre",1399,14th,,Chroniques,,,217105,"Et tout de bonne volenté se offrirent a faire service et plaisance a mesire Carle de Blois , et aler a lors coustages avoecques li en Bretagne .",108,116,,,,
30,MCVF,coustage,FR_Spending,FROISSART,Jean Froissart,"Chroniques, Premier livre",1399,14th,,Chroniques,,,217105,"Et l’ avoit li sires , qui se nonmoit Guillaumes , remparee et fortifiie assés et pourveue d’ arbalestriers , qui li estoient venu de Toulouse a ses coustages .",149,157,,,,
31,MCVF,coustage,FR_Spending,FROISSART,Jean Froissart,"Chroniques, Premier livre",1399,14th,,Chroniques,,,217105,Comsiderés les grans coustages qui en nasqirent .,21,29,,,,
32,MCVF,coustage,FR_Spending,FROISSART,Jean Froissart,"Chroniques, Premier livre",1399,14th,,Chroniques,,,217105,A l’ endemain vinrent doi mestre des enghiens que li dus de Normendie avoit mandés et fait venir de moult lonc a grant coustages .,119,127,,,,
33,MCVF,coustage,FR_Spending,FROISSART,Jean Froissart,"Chroniques, Premier livre",1399,14th,,Chroniques,,,217105,"car li intension de li estoit telle que de la il ne s’ en partiroit , si l’ averoit conquis par force ou par tretié , quel painne ne quel coustages que il i deuist rendre ne metre .",138,146,,,,
34,MCVF,coustage,FR_Spending,FROISSART,Jean Froissart,"Chroniques, Premier livre",1399,14th,,Chroniques,,,217105,"Bien voloit lor or et lor argent pour paiier les coustages et saudees des gentils honmes , et non plus avant : ",49,57,,,,
35,MCVF,coustage,FR_Spending,FROISSART,Jean Froissart,"Chroniques, Premier livre",1399,14th,,Chroniques,,,217105,"Li rois d’ Engleterre , qui se tenoit devant Calais a siege et estoit tenus tout le temps , ensi que vous savés , et a grans coustages , estudioit nuit et jour conment il peuist chiaus de Calais le plus constraindre et grever ; ",125,133,,,,
36,MCVF,cout,FR_Spending,CLARI_CONSTANTINOPLE,Robert de Clari,La Conqueste de Constantinople,1216,13th,Littéraire,Chroniques,Picardie,,34172,"et il nous offre a venir avec nous et a tenir no navie et nostre estore encore un an a sen coust! """,91,95,,,,
37,MCVF,cout,FR_Spending,CLARI_CONSTANTINOPLE,Robert de Clari,La Conqueste de Constantinople,1216,13th,Littéraire,Chroniques,Picardie,,34172,"Tant parlerent que il dist qu’ il donroit a l’ ost .cc . mile mars , et qu’ il tenroit le navie un an a sen coust , et qu’ il iroit outre mer avec aus a tout sen pooir , et qu’ i tenroit tous les jours de sa vie .x .m . hommes a armes en le tere d’ outre mer a sen coust , et qu’ il douroit a tous chiaus de l’ ost qui se de=partiroient de Coustantinoble a aler outre mer viande dusques a un an .",108,112,,,,
38,MCVF,cout,FR_Spending,CLARI_CONSTANTINOPLE,Robert de Clari,La Conqueste de Constantinople,1216,13th,Littéraire,Chroniques,Picardie,,34172,et li dux de Venice avoit avec lui chinquante galies tout a sen coust .,64,68,,,,
39,MCVF,cout,FR_Spending,CLARI_CONSTANTINOPLE,Robert de Clari,La Conqueste de Constantinople,1216,13th,Littéraire,Chroniques,Picardie,,34172,"et si vous mesrons chinquante galies a no coust ,",42,46,,,,
40,MCVF,cout,FR_Spending,Anonyme_Roisin,Anonyme,"Le livre Roisin, coutumier de Lille",1283,13th,Littéraire,Essai,Picardie,,5256,"Sacent tout qu’ il est concordet par eschevins , par les VIII hommes , et par tout le consel de le ville , et par le commun de le ville , que se hom dou consel de le ville , ne bourgois de cheste ville , avoit frais , cous , ne damages pour l’ oquoison de le franchize , de le loy , ne des besoignes de le ville aidier à warder ou soustenir , en quel manière que chou fust , li ville et tous li communs les en doit délivrer au commun frait de le ville .",218,221,,,,
41,MCVF,cout,FR_Spending,ANONYME_CNN,Anonyme,Cent Nouvelles Nouvelles,1458,15th,,Nouvelle / Fabliau,,,152174,"Et tout premier ung gentil escuier frisque , frez et friant en bon point , qui tant rembourra son bas a son cher coust , tant en substance de son corps que en despense de pecune , car a la verité elle tant bien le pluma qu’ il n’ y failloit point renvoier , qu’ il s’ ennuya et retira , et de tous poins l’ abandonna .",113,117,,,,
42,MCVF,cout,FR_Spending,ANONYME_CNN,Anonyme,Cent Nouvelles Nouvelles,1458,15th,,Nouvelle / Fabliau,,,152174,"Et qu’ il soit vray , depuis a son pourchaz et a ses chers coustz et despens il la fist marier tresrichement et bien , a la contemplacion seullement de la franchise et loyaulté qu’ en elle avoit trouvé , dont il eut la vraye cognoissance par le refus icy dessus compté .",59,64,,,,
43,MCVF,couter,FR_Spending,YVAIN,Chrétien de Troyes,"Le Chevalier au lion, Yvain",1177,12th,,Roman,,,42334,Or doint Dex que trop ne li cost ceste losenge et cist servise!,28,31,,,,
44,MCVF,couter,FR_Spending,YVAIN,Chrétien de Troyes,"Le Chevalier au lion, Yvain",1177,12th,,Roman,,,42334,"qu’ il volsist qu’ il fussent tuit ars , si li eüst costé cent mars .",52,56,,,,
45,MCVF,couter,FR_Spending,YVAIN,Chrétien de Troyes,"Le Chevalier au lion, Yvain",1177,12th,,Roman,,,42334,"Artus , li boens rois de Bretaingne la=cui proesce nos enseigne que nos soiens preu et cortois , tint cort si riche come rois a cele feste qui tant coste , qu’ an doit clamer la Pantecoste .",148,152,,,,
46,MCVF,couter,FR_Spending,YVAIN,Chrétien de Troyes,"Le Chevalier au lion, Yvain",1177,12th,,Roman,,,42334,"n’ avoit mie .xx . solz costé li setiers don fu fez li pains ,",24,28,,,,
47,MCVF,couter,FR_Spending,YVAIN,Chrétien de Troyes,"Le Chevalier au lion, Yvain",1177,12th,,Roman,,,42334,"Or ne devez vos pas songier , mes les tornoiemanz ongier et anpanre , et tot fors giter , que que il vos doie coster .",110,115,,,,
48,MCVF,couter,FR_Spending,JOINVILLE_MEMOIRES,Jean de Joinville,Mémoires ou Vie de Saint Louis,1305,14th,,Journal / Mémoire personnel,,,75650,"Ce sont , fist il , .XII‹C› . livres que vos nouviaus chevaliers cousteront .",65,74,,,,
49,MCVF,couter,FR_Spending,JOINVILLE_MEMOIRES,Jean de Joinville,Mémoires ou Vie de Saint Louis,1305,14th,,Journal / Mémoire personnel,,,75650,"Et la royne , que Diex absoille , fist acheter toutes les viandes de la ville , qui li cousterent .CCC . et .LX . mille livres et plus .",87,96,,,,
50,MCVF,couter,FR_Spending,JOINVILLE_MEMOIRES,Jean de Joinville,Mémoires ou Vie de Saint Louis,1305,14th,,Journal / Mémoire personnel,,,75650,Et il me dit qu’ il avoit tiex atours brodez de ses armes qui li avoient cousté .VIII . cenz livres de parisis .,73,78,,,,
51,MCVF,couter,FR_Spending,JOINVILLE_MEMOIRES,Jean de Joinville,Mémoires ou Vie de Saint Louis,1305,14th,,Journal / Mémoire personnel,,,75650,"Et pour vous moustrer le coustage que le roy i mist , vous foiz je a savoir que je demandai au legat combien celle porte et ce pan du mur li avoit cousté ; ",147,152,,,,
52,MCVF,couter,FR_Spending,JOINVILLE_MEMOIRES,Jean de Joinville,Mémoires ou Vie de Saint Louis,1305,14th,,Journal / Mémoire personnel,,,75650,et il me demanda combien je cuidoie qu’ elle eust cousté ; ,50,55,,,,
53,MCVF,couter,FR_Spending,ANONYME_ALEXANDRIE,Guillaume de Machaut,Prise d’Alexandrie,1369,14th,,Chroniques,,,53492,"Et à qui qu’ il grieve ne couste , Il sont arrivez à droit port , A grant joie & à grant deport .",26,31,,,,
54,MCVF,couter,FR_Spending,XV-JOIES,Anonyme,Les XV Joyes du mariage,1375,14th,,Nouvelle / Fabliau,,,34693,"Or a la dame sa robe que son mary ne li avoit voulu donner , qui lui a cousté et coustera bien chier .",71,76,,,,
55,MCVF,couter,FR_Spending,XV-JOIES,Anonyme,Les XV Joyes du mariage,1375,14th,,Nouvelle / Fabliau,,,34693,et a l’ aventure la roube coustera .L . ou .LX . escuz d’ or .,26,33,,,,
56,MCVF,couter,FR_Spending,FROISSART,Jean Froissart,"Chroniques, Premier livre",1399,14th,,Chroniques,,,217105,"et dist et jura que jamais n’ entenderoit a aultre cose , quoique couster li deuist ,",66,72,,,,
57,MCVF,couter,FR_Spending,FROISSART,Jean Froissart,"Chroniques, Premier livre",1399,14th,,Chroniques,,,217105,et ne faisoit point a reprendre presentement que trop il ne deuist couster .,67,73,,,,
58,MCVF,couter,FR_Spending,FROISSART,Jean Froissart,"Chroniques, Premier livre",1399,14th,,Chroniques,,,217105,"Si ordonna et conmanda li dus que li pons fust fais , qoique il coustast .",64,71,,,,
59,MCVF,couter,FR_Spending,FROISSART,Jean Froissart,"Chroniques, Premier livre",1399,14th,,Chroniques,,,217105,mais il cousta grandement des François plus que il ne vausist .,8,13,,,,
60,MCVF,couter,FR_Spending,FROISSART,Jean Froissart,"Chroniques, Premier livre",1399,14th,,Chroniques,,,217105,mais moult lor cousta de lors honmes .,15,20,,,,
61,MCVF,couter,FR_Spending,FROISSART,Jean Froissart,"Chroniques, Premier livre",1399,14th,,Chroniques,,,217105,"car on euist fait quatre tels castiaus que Agillon est , pour ce que li sieges cousta au roiaulme de France .",79,84,,,,
62,MCVF,couter,FR_Spending,FROISSART,Jean Froissart,"Chroniques, Premier livre",1399,14th,,Chroniques,,,217105,"Més trop lor cousta et par especial des bourgois de la ville ,",13,18,,,,
63,MCVF,couter,FR_Spending,FROISSART,Jean Froissart,"Chroniques, Premier livre",1399,14th,,Chroniques,,,217105,"et dist : Sire , li François folient et abusent trop grandement , qui , en bonnes trieuves jurees et donnees , marceandent de vous trahir , et voellent avoir la ville et le chastiel qui tant vous ont cousté : ",200,205,,,,
64,MCVF,couter,FR_Spending,FROISSART,Jean Froissart,"Chroniques, Premier livre",1399,14th,,Chroniques,,,217105,"Si aviserent li signeur que li contes de Ghines connestables de France et li contes de Tanqarville se departiroient dou siege et s’ en retourneroient en France , pour remonstrer au roi l’ estat de son fil , le duch de Normendie , et dou siege qui tant avoit cousté et coustoit encores tous les jours .",258,263,,,,
65,MCVF,couter,FR_Spending,FROISSART,Jean Froissart,"Chroniques, Premier livre",1399,14th,,Chroniques,,,217105,"et dist : Mesire Jofroi , mesire Jofroi , je vous doi , par vostre deserte , petit amer , qant vous voliés par nuit embler ce que j’ ai si comparet et qui m’ a coustet tant de deniers .",160,166,,,,
66,MCVF,couter,FR_Spending,FROISSART,Jean Froissart,"Chroniques, Premier livre",1399,14th,,Chroniques,,,217105,"Il ont tel cose esmeu qui me coustera et euls aussi ,",29,36,,,,
67,MCVF,couter,FR_Spending,FROISSART,Jean Froissart,"Chroniques, Premier livre",1399,14th,,Chroniques,,,217105,"Une fois , il cevauçoit un coursier , liquels li avoit cousté •CCC• esqus ,",55,60,,,,
68,MCVF,couter,FR_Spending,ANONYME_CNN,Anonyme,Cent Nouvelles Nouvelles,1458,15th,,Nouvelle / Fabliau,,,152174,"et ne la souffrit partir tant qu’ il eut besoigné deux foiz , qui gueres ne luy cousterent ; ",80,89,,,,
69,MCVF,couter,FR_Spending,ANONYME_CNN,Anonyme,Cent Nouvelles Nouvelles,1458,15th,,Nouvelle / Fabliau,,,152174,et vouldroit qu’ il luy fust cousté bonne chose et qu’ il eust trouvé homme qui bien luy sceust oster .,29,34,,,,
70,MCVF,couter,FR_Spending,ANONYME_CNN,Anonyme,Cent Nouvelles Nouvelles,1458,15th,,Nouvelle / Fabliau,,,152174,"si feray par Dieu , et me deust il couster plus que vous ne pensez!",35,41,,,,
71,MCVF,couter,FR_Spending,ANONYME_CNN,Anonyme,Cent Nouvelles Nouvelles,1458,15th,,Nouvelle / Fabliau,,,152174,"et bon bergier se fourre dedens , comme s’ il ne coutast rien , sans regarder merque , ne signe , ne promesse qu’ il eust faicte a sa bergiere ,",49,55,,,,
72,MCVF,couter,FR_Spending,ANONYME_CNN,Anonyme,Cent Nouvelles Nouvelles,1458,15th,,Nouvelle / Fabliau,,,152174,et juroit la mort bieu et ung cent de sermens qu’ il avoit baillée a sa femme une lemproye qui luy cousta ung franc .,99,104,,,,
73,MCVF,couter,FR_Spending,ANONYME_CNN,Anonyme,Cent Nouvelles Nouvelles,1458,15th,,Nouvelle / Fabliau,,,152174,"mais pour ce qu’ il pert a regret , le mot luy coustoit plus a pronuncer .",47,54,,,,
74,MCVF,couter,FR_Spending,ANONYME_CNN,Anonyme,Cent Nouvelles Nouvelles,1458,15th,,Nouvelle / Fabliau,,,152174,"Qui fut bien mal content , ce fut nostre homme , qui se pensa , en passant par la chambre et cheminant aux nopces qui trop a son gré luy coustoient , qu’ il jouera d’ un tour .",137,146,,,,
75,MCVF,couter,FR_Spending,ANONYME_CNN,Anonyme,Cent Nouvelles Nouvelles,1458,15th,,Nouvelle / Fabliau,,,152174,"et si tres bien s’ i acquitta que les trois , les quatre foiz gueres ne luy cousterent , que madame print bien en gré , qui tost après , pensant que ce soit tout , fut endormye .",76,85,,,,
76,MCVF,couter,FR_Spending,ANONYME_CNN,Anonyme,Cent Nouvelles Nouvelles,1458,15th,,Nouvelle / Fabliau,,,152174,"car il luy avoit cher cousté . A quoy ledit Thomas respondit qu’ il ne le devoit point plaindre si leur hoste l’ avoit adjugé estre sien , attendu que leur hostesse en avoit eu beaucop a souffrir , et qu’ il avoit eu le pucellage de la nuytée , et le dit Thomas avoit esté son page et de son escuyrie et allant après luy .",22,27,,,,
77,MCVF,couter,FR_Spending,ANONYME_CNN,Anonyme,Cent Nouvelles Nouvelles,1458,15th,,Nouvelle / Fabliau,,,152174,et ne me chault qu’ il me couste .,26,31,,,,
78,MCVF,couter,FR_Spending,ANONYME_CNN,Anonyme,Cent Nouvelles Nouvelles,1458,15th,,Nouvelle / Fabliau,,,152174,"et avecques ce , et qui n’ empire pas le jeu , il s’ en aidoit tellement et si bien que les quatre , les V , les VJ foiz ne luy coustoient non plus que s’ on les prinst en la corne de son chaperon .",128,137,,,,
79,MCVF,couter,FR_Spending,ANONYME_CNN,Anonyme,Cent Nouvelles Nouvelles,1458,15th,,Nouvelle / Fabliau,,,152174,"mais regards et aultres petiz signes ne luy coustoyent gueres , qui trop estoient a la fille ennuyeux .",44,53,,,,
80,MCVF,couter,FR_Spending,Commynes_Memoires,Philippe de Commynes,Mémoires,1489,15th,,Journal / Mémoire personnel,,,43495,"Tout ce jour demoura encores monsr de Charroloys sur le champ fort joyeux , estimant la gloire sienne , qui depuis luy a cousté bien cher : ",121,126,,,,
81,MCVF,couter,FR_Spending,MORIN,Marie Morin,Annales de l'Hôtel-Dieu de Montréal,1697,17th,,Annales,,,102345,"et fit bastir aux despans de sa communauté et avec les 300’ dont je viens de parler une chapelle toute de pierre , une fois aussy grand que la premiere , toute de pierre et voutees qui luy cousta plus de 2=000’ dont elle ce ranboursa ensuittes sur les aumosnes qu’ on y fit , disant de bonne grace qu’ elle avoit fait cette advance a la s‹ain›te Vierge qui peyeroit bien ces deptes .",189,194,,,,
82,MCVF,couter,FR_Spending,MORIN,Marie Morin,Annales de l'Hôtel-Dieu de Montréal,1697,17th,,Annales,,,102345,"D’ autre part , il estoit bien rude d’ arester , dans un si beau chemin , le 3e estage de massonne monté et achevé , la charpante tailiee preste a lever , toutes les portes et fenestres remise en pierre de taille neuves , ce qui avoit baucoup couté .",243,247,,,,
83,MCVF,couter,FR_Spending,MORIN,Marie Morin,Annales de l'Hôtel-Dieu de Montréal,1697,17th,,Annales,,,102345,"je v‹ou›s asure , mes chere sœur , que je vous fasse resouvenir isi ce que j’ ay apris de la sup‹erieu›re et des plus anciennes Filles de la maison ou nous estions logee , mesme la digne s‹œu›r Bourgeoys leur fondatrisse , qui est que quand notre monastere brusla , elles fesois actuellement une neuveine de prieres et de veilles pour demander a N‹otre› S‹eigneur› qu’ il vingt loger chez elles dans le tres S‹ain›t Sacrement , ce qui leur fut acordé sans delay , ne pansans pas qu’ il nous en dub tant couster ,",503,509,,,,
84,MCVF,couter,FR_Spending,MORIN,Marie Morin,Annales de l'Hôtel-Dieu de Montréal,1697,17th,,Annales,,,102345,"N‹otre› S‹eigneur› , segondans ces demarches qui luy couterent baucoup , luy donna des lumieres et graces sy fortes qu’ elle retira son cœur de la personne a qui elle l’ avoit donné pour le donner tout entier a Sa Majesté qu’ elle reconnu meriter seul tout notre estime et notre amour ,",53,61,,,,
85,MCVF,couter,FR_Spending,DUPLESSIS_LETTRE,Marie-Andrée Regnard Duplessis,Lettres de Marie-Andrée Duplessis envoyées à Mme Hecquet de la Cloche,1718,18th,,Correspondance,,,41365,"il m’ en a souvent coûté ,",19,23,,,,
86,MCVF,couter,FR_Spending,DUPLESSIS_LETTRE,Marie-Andrée Regnard Duplessis,Lettres de Marie-Andrée Duplessis envoyées à Mme Hecquet de la Cloche,1718,18th,,Correspondance,,,41365,"on dit que cet armement a couté quatre=vingts millions que les choses de ce monde , sont incertaines ,",26,30,,,,
87,MCVF,couter,FR_Spending,DUPLESSIS_LETTRE,Marie-Andrée Regnard Duplessis,Lettres de Marie-Andrée Duplessis envoyées à Mme Hecquet de la Cloche,1718,18th,,Correspondance,,,41365,"et s’ il s’ en trouvoit 3 ou 4 exemplaires , je võ· dédomagerois de ce qu’ ils vous auroient couté ,",93,97,,,,
88,MCVF,couter,FR_Spending,DUPLESSIS_LETTRE,Marie-Andrée Regnard Duplessis,Lettres de Marie-Andrée Duplessis envoyées à Mme Hecquet de la Cloche,1718,18th,,Correspondance,,,41365,il luy en a même couté encore d’ ailleurs d’ un côté 10000‹ll› et de l| autre 5000‹ll› sans compter toutes les pertes qui peuvent n| être pas venuës a sa connoissance EOS,17,21,,,,
89,MCVF,couter,FR_Spending,DUPLESSIS_LETTRE,Marie-Andrée Regnard Duplessis,Lettres de Marie-Andrée Duplessis envoyées à Mme Hecquet de la Cloche,1718,18th,,Correspondance,,,41365,"si a propos , la sacristine me l’ envia fort et m| a chargée de vous demander combien coûteroit un tapis pour un grand marche=pied d’ autel qui a trois marche je luy ay promis de m’ en informer ,",86,94,,,,
90,MCVF,debourser,FR_Spending,ANONYME_CNN,Anonyme,Cent Nouvelles Nouvelles,1458,15th,,Nouvelle / Fabliau,,,152174,"l’ escuier dit qu’ il n’ en fera rien ; et , pour trousser le compte , force fut a la bonne gentil femme a tel regret que Dieu scet , de desbourser les dix escuz , affin que l’ escuier s’ en aille .",137,146,,,,
91,MCVF,depens,FR_Spending,YVAIN,Chrétien de Troyes,"Le Chevalier au lion, Yvain",1177,12th,,Roman,,,42334,si li fist creance et despans de tot quan que il li covint .,22,28,,,,
